date,epochs,dataset,batchSize,sampleRate,kernLength,dropout,learning,roc_auc,accuracy,f1,D
09/02/21,300,all,30,128,64,0.5,0.001,0.6034878863826232,0.7244340359094458,4,2
09/02/21,300,all,30,128,64,0.5,0.001,0.5592105263157895,0.8071818891491023,4,2
09/02/21,300,all,60,128,64,0.5,0.001,0.6212406015037594,0.6955503512880562,4,2
09/02/21,300,all,60,128,64,0.5,0.001,0.5921052631578948,0.6307572209211554,4,2
09/02/21,300,all,120,128,64,0.5,0.001,0.6176900584795322,0.6268540202966433,4,2
09/02/21,300,all,120,128,64,0.5,0.001,0.6077694235588973,0.5979703356752537,4,2
