Data description:

Chanels: 32
epoch duration: -0.1 ~ 0.8
sampling rate: 256 Hz
Labels: 1(for target), 2(for non target)
data format: channel x timepoints x trials
labels format: 1xtrials

Channel name	Channel number
FP2'	1
FP1'	2
AF4'	3
AF3'	4
F8'	5
F4'	6
FZ'	7
F3'	8
F7'	9
FT8'	10
FC4'	11
FCZ'	12
FC3'	13
FT7'	14
T8'	15
C4'	16
CZ'	17
C3'	18
T7'	19
TP8'	20
CP4'	21
CPZ'	22
CP3'	23
TP7'	24
P8'	25
P4'	26
PZ'	27
P3'	28
P7'	29
O2'	30
OZ'	31
O1'	32

